Location,Property Type,Bedrooms,Bathrooms,Size,Price (KES),Listing Date,Amenities
Nairobi - Runda,House,5 bedrooms,5,380 m²,450000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,5 bedrooms,5,,750000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,5 bedrooms,5,320 m²,250000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Gigiri,House,3 bedrooms,3,,380000,14 February 2026,"Alarm, Backup Generator, En Suite, Furnished, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access"
Nairobi - Thigiri,House,5 bedrooms,2,,350000,26 January 2026,"En Suite, Backup Generator, Alarm, Balcony, Electric Fence, Garden, Parking, Staff Quarters, School, Scenic View, Shopping Centre"
Nairobi - Runda,House,5 bedrooms,6,450 m²,578000,09 February 2026,"Backup Generator, En Suite, Balcony, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gated Community, Golf Course, Shopping Centre, School"
Nairobi - Lavington,House,5 bedrooms,5,320 m²,250000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Runda,House,4 bedrooms,4,380 m²,350000,20 February 2026,"Backup Generator, En Suite, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course"
Nairobi - Karen,House,5 bedrooms,4,,250000,19 February 2026,"Service Charge Included, Electric Fence, Garden, Parking, Gated Community, Bus Stop, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Runda,House,4 bedrooms,4,196 m²,300000,20 February 2026,"Alarm, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,3 bedrooms,3,,200000,20 February 2026,"Alarm, En Suite, Fibre Internet, Service Charge Included, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,5 bedrooms,5,,270000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,3 bedrooms,3,,150000,20 February 2026,"En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, CCTV, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,4 bedrooms,4,,450000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,4 bedrooms,4,,350000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,6 bedrooms,6,,350000,20 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Spring Valley,House,4 bedrooms,3,,250000,20 February 2026,"En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Westlands Area,House,3 bedrooms,2,234 m²,200000,20 February 2026,"Backup Generator, Fibre Internet, Service Charge Included, Electric Fence, Garden, Parking, Wheelchair Access, Gated Community, Bus Stop, Hospital, Scenic View, School"
Nairobi - Lavington,House,5 bedrooms,7,,780000,20 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Muthaiga,House,4 bedrooms,5,320 m²,550000,19 February 2026,"Aircon, Backup Generator, Alarm, Fibre Internet, Walk In Closet, Balcony, Electric Fence, Garden, Parking, Wheelchair Access, Hospital, Scenic View, Bus Stop, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,5,"0,13 m²",575000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,5,695 m²,440000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,7,,780000,19 February 2026,"Walk In Closet, Service Charge Included, Fibre Internet, En Suite, Alarm, Aircon, Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Staff Quarters, Gated Community, Kids Play Area, Shopping Centre, School, Scenic View"
Nairobi - Karen,House,5 bedrooms,5,449 m²,250000,19 February 2026,"En Suite, Fibre Internet, Service Charge Included, Garden, Parking, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Lavington,House,5 bedrooms,6,695 m²,450000,19 February 2026,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Garden, Gated Community, Wheelchair Access, Borehole, Electric Fence, Staff Quarters, CCTV, Parking, BBQ, Balcony, Kids Play Area, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Nyari,House,2 bedrooms,2,98 m²,190000,19 February 2026,"Backup Generator, Alarm, Serviced, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Furnished, Garden, Gated Community, Wheelchair Access, Borehole, Electric Fence, CCTV, Parking, BBQ, Balcony, Kids Play Area, Golf Course, Bus Stop, Shopping Centre, Hospital, Scenic View, School"
Nairobi - Spring Valley,House,4 bedrooms,4,,280000,19 February 2026,"Backup Generator, Alarm, Serviced, Service Charge Included, En Suite, Fibre Internet, Walk In Closet, Electric Fence, Swimming Pool, Staff Quarters, Parking, Gym, Wheelchair Access, Gated Community, Garden, Borehole, CCTV, BBQ, Balcony, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Kitisuru,House,5 bedrooms,,4.046 m²,650000,19 February 2026,"Backup Generator, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Gated Community, Garden"
Nairobi - Runda,House,4 bedrooms,5,"0,5 m²",380000,20 January 2026,"Aircon, Alarm, Backup Generator, Walk In Closet, Service Charge Included, En Suite, Fibre Internet, Balcony, BBQ, Parking, Kids Play Area, Staff Quarters, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Lavington,House,4 bedrooms,,526 m²,350000,26 February 2025,"Backup Generator, Walk In Closet, En Suite, Electric Fence, Swimming Pool, Parking, Kids Play Area, Borehole, CCTV, Bus Stop, Shopping Centre, Hospital, School"
Kajiado County - Ngong,House,5 bedrooms,,278 m²,110000,11 November 2025,
Nairobi - Kitisuru,House,5 bedrooms,,4.046 m²,650000,19 February 2026,"Backup Generator, Service Charge Included, Walk In Closet, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, CCTV, Electric Fence, Gated Community, Garden"
Nairobi - Karen,House,5 bedrooms,5,,450000,19 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Nyari,House,4 bedrooms,4,"0,4 m²",250000,19 February 2026,"Alarm, En Suite, Fibre Internet, Balcony, Garden, Parking, Staff Quarters, Bus Stop, Scenic View, School"
Nairobi - Lavington,House,4 bedrooms,,,650000,19 February 2026,"Alarm, En Suite, Service Charge Included, Fibre Internet, Walk In Closet, Gated Community, Kids Play Area, Parking, Garden, BBQ, Balcony, CCTV, Staff Quarters, Scenic View, Shopping Centre, School"
Nairobi - Thigiri,House,5 bedrooms,3,,350000,04 February 2026,"Backup Generator, En Suite, Walk In Closet"
Nairobi - Lavington,House,4 bedrooms,4,,380000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Thigiri,House,5 bedrooms,6,"6.070,2 m²",450000,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Staff Quarters, Parking, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Lavington,House,3 bedrooms,1,,230000,19 February 2026,"Fibre Internet, Service Charge Included, Walk In Closet, En Suite, Garden, Parking, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, School, Shopping Centre"
Nairobi - Kyuna,House,5 bedrooms,6,,375000,19 February 2026,"Walk In Closet, Fibre Internet, En Suite, Backup Generator, Alarm, Aircon, Kids Play Area, Gated Community, Staff Quarters, Parking, Gym, Garden, Borehole, Electric Fence, CCTV, BBQ, Balcony, Shopping Centre, School, Hospital, Bus Stop"
Nairobi - Kitisuru,House,4 bedrooms,4,,390000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,5 bedrooms,5,"0,5 m²",450000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,6 bedrooms,6,695 m²,440000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Service Charge Included, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Golf Course, Hospital, Shopping Centre, School"
Nairobi - Runda,House,5 bedrooms,5,,600000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,2 bedrooms,2,,277350,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,5 bedrooms,5,,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Rosslyn,House,4 bedrooms,4,300 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,5 bedrooms,5,,671000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Loresho,House,5 bedrooms,5,2.024 m²,600000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,5 bedrooms,5,,450000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,5 bedrooms,5,526 m²,360000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kitisuru,House,2 bedrooms,2,,300000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,3 bedrooms,3,380 m²,360000,16 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,,580500,16 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Swimming Pool, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Rosslyn,House,4 bedrooms,4,,350000,16 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Staff Quarters, Gym, CCTV, Swimming Pool, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,220 m²,350000,16 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Lavington,House,4 bedrooms,4,267 m²,130000,19 February 2026,"Aircon, Alarm, En Suite, Fibre Internet, Backup Generator, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Kids Play Area, Gated Community, Wheelchair Access, Borehole, Bus Stop, Golf Course, Scenic View, Hospital, School, Sea View, Shopping Centre"
Nairobi - Karen,House,5 bedrooms,4,,460000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kiambu Road,House,4 bedrooms,4,220 m²,150000,19 February 2026,"Alarm, Backup Generator, Fibre Internet, En Suite, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,5 bedrooms,5,,490000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Thigiri,House,4 bedrooms,3,"6.070,2 m²",450000,19 February 2026,"Alarm, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Staff Quarters, Parking, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Kiambu Road,House,4 bedrooms,5,345 m²,230000,26 June 2025,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Kiambu Road,House,4 bedrooms,4,180 m²,200000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,5 bedrooms,5,,450000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, BBQ, Staff Quarters, Parking, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Gigiri,House,6 bedrooms,6,,750000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Runda,House,4 bedrooms,4,,451745,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Ridgeways,House,5 bedrooms,6,546 m²,280000,19 February 2026,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Kajiado County - Kitengela,House,2 bedrooms,2,278 m²,110000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Kiambu Road,House,4 bedrooms,4,356 m²,350000,19 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden, Bus Stop, Shopping Centre, Hospital, School"
Nairobi - Karen,House,4 bedrooms,4,,250000,18 February 2026,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Gigiri,House,6 bedrooms,6,,750000,16 February 2026,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Service Charge Included, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Wheelchair Access, Staff Quarters, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Karen,House,1 bedrooms,1,,90000,19 February 2026,"Alarm, En Suite, Fibre Internet, Furnished, Service Charge Included, Walk In Closet, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Parking, Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre"
Nairobi - Runda,House,4 bedrooms,5,"0,5 m²",400000,19 February 2026,"Backup Generator, En Suite, Garden, Staff Quarters, Parking, Balcony, Scenic View"
Nairobi - Thigiri,House,5 bedrooms,4,,350000,19 February 2026,"Walk In Closet, Serviced, Alarm, En Suite, Fibre Internet, Kids Play Area, Gym, Balcony, BBQ, Parking, Staff Quarters, Wheelchair Access, Garden, Gated Community, Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School"
Nairobi - Karen,House,5 bedrooms,,,250000,19 February 2026,
Nairobi - Kiambu Road,House,4 bedrooms,5,356 m²,360000,12 September 2025,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Kiambu Road,House,4 bedrooms,4,342 m²,150000,30 September 2025,"Aircon, Serviced, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, Gym, Kids Play Area, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden, Gated Community, Bus Stop, Shopping Centre, Hospital, Golf Course, Scenic View, School"
Nairobi - Gigiri,House,4 bedrooms,4,400 m²,640000,19 February 2026,"Fibre Internet, En Suite, Walk In Closet, Alarm, Service Charge Included, Backup Generator, Garden, Gated Community, Wheelchair Access, Borehole, Electric Fence, CCTV, Staff Quarters, BBQ, Parking, Balcony, Kids Play Area, Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School"
Nairobi - Kileleshwa,House,4 bedrooms,3,546 m²,270000,13 November 2020,"En Suite, Service Charge Included, Walk In Closet, Garden, BBQ, Staff Quarters, Electric Fence, Gated Community, Kids Play Area, Parking, Bus Stop, Scenic View, Shopping Centre"
Nairobi - Kileleshwa,House,2 bedrooms,2,,190000,30 March 2025,"Backup Generator, En Suite, Walk In Closet, Balcony, CCTV, Electric Fence, Garden, Parking, Gated Community, Kids Play Area, Bus Stop, Scenic View, Shopping Centre"
